"Ozono","Radiacion_solar","Viento","Temperatura","Mes","Dia"
41,190,11.91,19.4,5,1
36,118,12.87,22.2,5,2
12,149,20.28,23.3,5,3
18,313,18.51,16.7,5,4
NA,NA,23.01,13.3,5,5
28,NA,23.98,18.9,5,6
23,299,13.84,18.3,5,7
19,99,22.21,15,5,8
8,19,32.35,16.1,5,9
NA,194,13.84,20.6,5,10
7,NA,11.1,23.3,5,11
16,256,15.61,20.6,5,12
11,290,14.81,18.9,5,13
14,274,17.54,20,5,14
18,65,21.24,14.4,5,15
14,334,18.51,17.8,5,16
34,307,19.31,18.9,5,17
6,78,29.61,13.9,5,18
30,322,18.51,20,5,19
11,44,15.61,16.7,5,20
1,8,15.61,15,5,21
11,320,26.72,22.8,5,22
4,25,15.61,16.1,5,23
32,92,19.31,16.1,5,24
NA,66,26.72,13.9,5,25
NA,266,23.98,14.4,5,26
NA,NA,12.87,13.9,5,27
23,13,19.31,19.4,5,28
45,252,23.98,27.2,5,29
115,223,9.17,26.1,5,30
37,279,11.91,24.4,5,31
NA,286,13.84,25.6,6,1
NA,287,15.61,23.3,6,2
NA,242,25.91,19.4,6,3
NA,186,14.81,28.9,6,4
NA,220,13.84,29.4,6,5
NA,264,23.01,26.1,6,6
29,127,15.61,27.8,6,7
NA,273,11.1,30.6,6,8
71,291,22.21,32.2,6,9
39,323,18.51,30.6,6,10
NA,259,17.54,33.9,6,11
NA,250,14.81,33.3,6,12
23,148,12.87,27.8,6,13
NA,332,22.21,26.7,6,14
NA,322,18.51,26.1,6,15
21,191,23.98,25,6,16
37,284,33.31,22.2,6,17
20,37,14.81,18.3,6,18
12,120,18.51,22.8,6,19
13,137,16.58,24.4,6,20
NA,150,10.14,25,6,21
NA,59,2.74,24.4,6,22
NA,91,7.4,24.4,6,23
NA,250,10.14,24.4,6,24
NA,135,12.87,23.9,6,25
NA,127,12.87,25.6,6,26
NA,47,16.58,22.8,6,27
NA,98,18.51,26.7,6,28
NA,31,23.98,25,6,29
NA,138,12.87,28.3,6,30
135,269,6.6,28.9,7,1
49,248,14.81,29.4,7,2
32,236,14.81,27.2,7,3
NA,101,17.54,28.9,7,4
64,175,7.4,28.3,7,5
40,314,17.54,28.3,7,6
77,276,8.21,31.1,7,7
97,267,10.14,33.3,7,8
97,272,9.17,33.3,7,9
85,175,11.91,31.7,7,10
NA,139,13.84,27.8,7,11
10,264,23.01,22.8,7,12
27,175,23.98,27.2,7,13
NA,291,23.98,32.8,7,14
7,48,23.01,26.7,7,15
48,260,11.1,27.2,7,16
35,274,16.58,27.8,7,17
61,285,10.14,28.9,7,18
79,187,8.21,30.6,7,19
63,220,18.51,29.4,7,20
16,7,11.1,23.3,7,21
NA,258,15.61,27.2,7,22
NA,295,18.51,27.8,7,23
80,294,13.84,30,7,24
108,223,12.87,29.4,7,25
20,81,13.84,27.8,7,26
52,82,19.31,30,7,27
82,213,11.91,31.1,7,28
50,275,11.91,30,7,29
64,253,11.91,28.3,7,30
59,254,14.81,27.2,7,31
39,83,11.1,27.2,8,1
9,24,22.21,27.2,8,2
16,77,11.91,27.8,8,3
78,NA,11.1,30,8,4
35,NA,11.91,29.4,8,5
66,NA,7.4,30.6,8,6
122,255,6.44,31.7,8,7
89,229,16.58,32.2,8,8
110,207,12.87,32.2,8,9
NA,222,13.84,33.3,8,10
NA,137,18.51,30,8,11
44,192,18.51,30,8,12
28,273,18.51,27.8,8,13
65,157,15.61,26.7,8,14
NA,64,18.51,26.1,8,15
22,71,16.58,25,8,16
59,51,10.14,26.1,8,17
23,115,11.91,24.4,8,18
31,244,17.54,25.6,8,19
44,190,16.58,25.6,8,20
21,259,24.94,25,8,21
9,36,23.01,22.2,8,22
NA,255,20.28,23.9,8,23
45,212,15.61,26.1,8,24
168,238,5.47,27.2,8,25
73,215,12.87,30,8,26
NA,153,9.17,31.1,8,27
76,203,15.61,36.1,8,28
118,225,3.7,34.4,8,29
84,237,10.14,35.6,8,30
85,188,10.14,34.4,8,31
96,167,11.1,32.8,9,1
78,197,8.21,33.3,9,2
73,183,4.51,33.9,9,3
91,189,7.4,33.9,9,4
47,95,11.91,30.6,9,5
32,92,24.94,28.9,9,6
20,252,17.54,26.7,9,7
23,220,16.58,25.6,9,8
21,230,17.54,23.9,9,9
24,259,15.61,22.8,9,10
44,236,23.98,27.2,9,11
21,259,24.94,24.4,9,12
28,238,10.14,25,9,13
9,24,17.54,21.7,9,14
13,112,18.51,21.7,9,15
46,237,11.1,25.6,9,16
18,224,22.21,19.4,9,17
13,27,16.58,24.4,9,18
24,238,16.58,20,9,19
16,201,12.87,27.8,9,20
13,238,20.28,17.8,9,21
23,14,14.81,21.7,9,22
36,139,16.58,27.2,9,23
7,49,16.58,20.6,9,24
14,20,26.72,17.2,9,25
30,193,11.1,21.1,9,26
NA,145,21.24,25,9,27
14,191,23.01,23.9,9,28
18,131,12.87,24.4,9,29
20,223,18.51,20,9,30
