,numero,año,escolaridad,experiencia,sindicalizado,etnia,casado,salud,sueldo,industria,ocupacion,lugar_residencia
1,13,1980,14,1,no,other,no,no,1.197540205,Business_and_Repair_Service,Service_Workers,north_east
2,13,1981,14,2,sí,other,no,no,1.853059995,Personal_Service,Service_Workers,north_east
3,13,1982,14,3,no,other,no,no,1.344461678,Business_and_Repair_Service,Service_Workers,north_east
4,13,1983,14,4,no,other,no,no,1.433213336,Business_and_Repair_Service,Service_Workers,north_east
5,13,1984,14,5,no,other,no,no,1.56812508,Personal_Service,"Craftsmen, Foremen_and_kindred",north_east
6,13,1985,14,6,no,other,no,no,1.699890942,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
7,13,1986,14,7,no,other,no,no,-0.720262576,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
8,13,1987,14,8,no,other,no,no,1.669187917,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
9,17,1980,13,4,no,other,no,no,1.675962404,Trade,"Managers, Officials_and_Proprietors",north_east
10,17,1981,13,5,no,other,no,no,1.518398202,Trade,"Managers, Officials_and_Proprietors",north_east
11,17,1982,13,6,no,other,no,no,1.559190477,Trade,"Managers, Officials_and_Proprietors",north_east
12,17,1983,13,7,no,other,no,no,1.725410089,Trade,"Managers, Officials_and_Proprietors",north_east
13,17,1984,13,8,no,other,no,no,1.622022321,Trade,"Managers, Officials_and_Proprietors",north_east
14,17,1985,13,9,no,other,no,no,1.608588274,Construction,Laborers_and_farmers,north_east
15,17,1986,13,10,no,other,no,no,1.572385414,Construction,Laborers_and_farmers,north_east
16,17,1987,13,11,no,other,no,no,1.820333856,Construction,"Craftsmen, Foremen_and_kindred",north_east
17,18,1980,12,4,no,other,sí,no,1.515962749,Trade,Clerical_and_kindred,NA
18,18,1981,12,5,no,other,sí,no,1.735379136,Trade,Clerical_and_kindred,NA
19,18,1982,12,6,no,other,sí,no,1.63174367,Manufacturing,"Managers, Officials_and_Proprietors",NA
20,18,1983,12,7,no,other,sí,no,1.998228811,Trade,Sales_Workers,NA
21,18,1984,12,8,no,other,sí,no,2.18401422,Trade,Sales_Workers,NA
22,18,1985,12,9,no,other,sí,no,2.266662239,Trade,Sales_Workers,NA
23,18,1986,12,10,no,other,sí,no,2.06994393,Trade,Sales_Workers,NA
24,18,1987,12,11,no,other,sí,no,2.873160721,Trade,Sales_Workers,NA
25,45,1980,12,2,sí,other,no,no,1.894114981,Transportation,Laborers_and_farmers,north_east
26,45,1981,12,3,sí,other,no,no,1.471159283,Transportation,Operatives_and_kindred,north_east
27,45,1982,12,4,no,other,no,no,1.473497492,Manufacturing,Operatives_and_kindred,north_east
28,45,1983,12,5,no,other,no,no,1.740914275,Manufacturing,Operatives_and_kindred,north_east
29,45,1984,12,6,no,other,no,no,1.823213714,Business_and_Repair_Service,Operatives_and_kindred,north_east
30,45,1985,12,7,no,other,no,no,1.908272857,Manufacturing,Operatives_and_kindred,north_east
31,45,1986,12,8,no,other,no,no,1.742447363,Transportation,Clerical_and_kindred,north_east
32,45,1987,12,9,no,other,sí,no,2.135688916,Construction,Clerical_and_kindred,north_east
33,110,1980,12,5,sí,other,no,no,1.948774855,Professional_and_Related Service,Clerical_and_kindred,north_east
34,110,1981,12,6,no,other,no,no,1.962259287,Professional_and_Related Service,Clerical_and_kindred,north_east
35,110,1982,12,7,no,other,no,no,1.963296825,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
36,110,1983,12,8,no,other,no,no,2.202515633,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
37,110,1984,12,9,no,other,sí,no,2.134954252,Trade,"Professional, Technical_and_kindred",north_east
38,110,1985,12,10,no,other,sí,no,2.12582282,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
39,110,1986,12,11,no,other,sí,no,1.991016671,Finance,Clerical_and_kindred,north_east
40,110,1987,12,12,no,other,sí,no,2.112393353,Finance,Clerical_and_kindred,north_east
41,120,1980,10,2,no,other,no,no,0.258554863,Trade,Service_Workers,north_east
42,120,1981,10,3,no,other,no,no,1.319971718,Trade,Service_Workers,north_east
43,120,1982,10,4,no,other,no,no,1.462085287,Trade,Service_Workers,north_east
44,120,1983,10,5,no,other,no,no,1.320286919,Trade,Service_Workers,north_east
45,120,1984,10,6,no,other,no,no,1.703646556,Entertainment,Service_Workers,north_east
46,120,1985,10,7,no,other,no,no,1.445803206,Trade,Service_Workers,north_east
47,120,1986,10,8,no,other,no,no,1.8063641,Finance,Clerical_and_kindred,north_east
48,120,1987,10,9,no,other,no,no,2.148120177,Business_and_Repair_Service,Clerical_and_kindred,north_east
49,126,1980,13,2,no,other,no,no,1.737285489,Trade,Sales_Workers,north_east
50,126,1981,13,3,no,other,no,no,1.989600838,Trade,"Managers, Officials_and_Proprietors",north_east
51,126,1982,13,4,no,other,no,no,2.189916837,Trade,"Managers, Officials_and_Proprietors",north_east
52,126,1983,13,5,no,other,no,no,1.855463217,Trade,Sales_Workers,north_east
53,126,1984,13,6,no,other,no,no,1.922437793,Trade,Sales_Workers,north_east
54,126,1985,13,7,no,other,sí,no,2.061023956,Trade,Sales_Workers,north_east
55,126,1986,13,8,no,other,sí,no,1.782201624,Trade,Sales_Workers,north_east
56,126,1987,13,9,no,other,sí,no,2.414681578,Trade,"Managers, Officials_and_Proprietors",north_east
57,150,1980,12,2,no,other,no,no,1.208735301,Business_and_Repair_Service,Operatives_and_kindred,north_east
58,150,1981,12,3,no,other,no,no,1.194039663,Business_and_Repair_Service,Operatives_and_kindred,north_east
59,150,1982,12,4,no,other,no,no,1.170440572,Business_and_Repair_Service,Operatives_and_kindred,north_east
60,150,1983,12,5,no,other,no,no,1.097964499,Business_and_Repair_Service,Operatives_and_kindred,north_east
61,150,1984,12,6,no,other,no,no,0.765816189,Business_and_Repair_Service,Service_Workers,north_east
62,150,1985,12,7,no,other,no,no,1.119025979,Business_and_Repair_Service,Service_Workers,north_east
63,150,1986,12,8,no,other,no,no,1.11936672,Business_and_Repair_Service,Operatives_and_kindred,north_east
64,150,1987,12,9,sí,other,no,no,0.831459508,Business_and_Repair_Service,Service_Workers,north_east
65,162,1980,11,2,sí,other,no,no,0.502470152,Trade,Clerical_and_kindred,north_east
66,162,1981,11,3,no,other,no,no,1.06491237,Professional_and_Related Service,Clerical_and_kindred,north_east
67,162,1982,11,4,no,other,no,no,1.189497943,Manufacturing,Sales_Workers,north_east
68,162,1983,11,5,no,other,no,no,1.539888529,Trade,Laborers_and_farmers,north_east
69,162,1984,11,6,no,other,no,no,1.598286041,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
70,162,1985,11,7,no,other,no,no,1.737320692,Trade,"Managers, Officials_and_Proprietors",north_east
71,162,1986,11,8,no,other,no,no,1.988455851,Trade,"Managers, Officials_and_Proprietors",north_east
72,162,1987,11,9,no,other,no,no,2.158678434,Professional_and_Related Service,"Managers, Officials_and_Proprietors",south
73,166,1980,10,2,sí,other,no,no,1.005294006,Trade,Laborers_and_farmers,north_east
74,166,1981,10,3,sí,other,no,no,0.937687371,Trade,Laborers_and_farmers,north_east
75,166,1982,10,4,sí,other,no,no,1.367487705,Trade,Laborers_and_farmers,north_east
76,166,1983,10,5,sí,other,no,no,1.378008782,Trade,Clerical_and_kindred,north_east
77,166,1984,10,6,sí,other,no,no,1.170183481,Trade,Clerical_and_kindred,north_east
78,166,1985,10,7,no,other,no,no,1.728221448,Trade,"Craftsmen, Foremen_and_kindred",north_east
79,166,1986,10,8,no,other,sí,no,1.70986475,Trade,"Managers, Officials_and_Proprietors",north_east
80,166,1987,10,9,no,other,sí,no,1.851074786,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
81,189,1980,14,2,no,other,no,no,1.130545336,Trade,Clerical_and_kindred,north_east
82,189,1981,14,3,no,other,no,no,0.836248024,Trade,Clerical_and_kindred,north_east
83,189,1982,14,4,no,other,no,no,1.467359814,Trade,Clerical_and_kindred,north_east
84,189,1983,14,5,no,other,no,no,1.071483621,Trade,Sales_Workers,north_east
85,189,1984,14,6,no,other,no,no,1.445919483,Trade,Clerical_and_kindred,north_east
86,189,1985,14,7,no,other,no,no,1.685116348,Trade,Sales_Workers,north_east
87,189,1986,14,8,no,other,no,no,1.686174979,Manufacturing,Clerical_and_kindred,north_east
88,189,1987,14,9,no,other,no,no,1.755130347,Manufacturing,Clerical_and_kindred,north_east
89,193,1980,14,2,no,other,no,no,1.565691895,Manufacturing,"Professional, Technical_and_kindred",north_east
90,193,1981,14,3,no,other,no,no,2.49387532,Manufacturing,"Professional, Technical_and_kindred",north_east
91,193,1982,14,4,no,other,no,no,1.822662074,Manufacturing,"Professional, Technical_and_kindred",north_east
92,193,1983,14,5,no,other,no,no,2.380336056,Manufacturing,"Professional, Technical_and_kindred",north_east
93,193,1984,14,6,no,other,no,no,2.217128496,Manufacturing,"Professional, Technical_and_kindred",north_east
94,193,1985,14,7,no,other,sí,no,2.272031436,Manufacturing,"Professional, Technical_and_kindred",north_east
95,193,1986,14,8,no,other,sí,no,2.353798732,Manufacturing,"Professional, Technical_and_kindred",north_east
96,193,1987,14,9,no,other,sí,no,2.429450034,Manufacturing,"Professional, Technical_and_kindred",north_east
97,209,1980,11,3,no,other,no,no,1.918003196,Trade,Service_Workers,north_east
98,209,1981,11,4,no,other,no,no,0.765407748,Trade,Service_Workers,north_east
99,209,1982,11,5,no,other,no,no,1.978185438,Trade,Service_Workers,north_east
100,209,1983,11,6,no,other,no,no,1.94855364,Trade,Service_Workers,north_east
101,209,1984,11,7,no,other,no,no,2.037025938,Entertainment,Service_Workers,north_east
102,209,1985,11,8,no,other,no,no,1.902574836,Trade,"Managers, Officials_and_Proprietors",north_east
103,209,1986,11,9,no,other,no,no,1.972603656,Trade,"Managers, Officials_and_Proprietors",north_east
104,209,1987,11,10,no,other,no,no,2.18698221,Entertainment,"Managers, Officials_and_Proprietors",north_east
105,212,1980,11,2,no,other,no,no,1.784471803,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
106,212,1981,11,3,no,other,no,no,2.179982771,Manufacturing,Operatives_and_kindred,north_east
107,212,1982,11,4,sí,other,no,no,1.963865384,Manufacturing,Operatives_and_kindred,north_east
108,212,1983,11,5,no,other,no,no,2.044932767,Manufacturing,Operatives_and_kindred,north_east
