"fecha","precio","habitaciones","baños","area_m2_util","area_m2_construida","pisos","año_construida","codigo_postal"
2014-10-13,110950000,3,1,109.6,524.9,1,1955,98178
2014-12-09,2.69e+08,3,2.25,238.8,672.8,2,1951,98125
2015-02-25,9e+07,2,1,71.5,929,1,1933,98028
2014-12-09,3.02e+08,4,3,182.1,464.5,1,1965,98136
2015-02-18,2.55e+08,3,2,156.1,750.7,1,1987,98074
2014-05-12,612500000,4,4.5,503.5,9469.6,1,2001,98053
2014-06-27,128750000,3,2.25,159.3,633.5,2,1995,98003
2015-01-15,145925000,3,1.5,98.5,902.2,1,1963,98198
2015-04-15,114750000,3,1,165.4,694,1,1960,98146
2015-03-12,161500000,3,2.5,175.6,609.4,2,2003,98038
2015-04-03,331250000,3,2.5,330.7,910.1,1,1965,98007
2014-05-27,2.34e+08,2,1,107.8,557.4,1,1942,98115
2014-05-28,1.55e+08,3,1,132.9,1848.9,1.5,1927,98028
2014-10-07,2e+08,3,1.75,127.3,899.3,1,1977,98074
2015-03-12,2.65e+08,5,2,168.2,450.6,1.5,1900,98107
2015-01-24,3.25e+08,4,3,274.1,464.5,2,1979,98126
2014-07-31,197500000,3,2,175.6,1304.4,2,1994,98019
2014-05-29,242500000,4,1,148.6,399.5,1.5,1916,98103
2014-12-05,94500000,2,1,111.5,915.1,1,1921,98002
2015-04-24,1.15e+08,3,1,116.1,908,1,1969,98003
2014-05-14,192500000,4,1.75,150.5,462.7,1,1947,98133
2014-08-26,1e+09,3,2.75,283.4,4168.3,1,1968,98040
2014-07-03,142500000,5,2.5,210.9,585.3,2,1995,98092
2014-05-16,126350000,2,1.5,99.4,895.9,1,1985,98030
2014-11-20,164500000,3,2.25,227.6,603.9,2,1985,98030
2014-11-03,116500000,3,2,158.9,436.4,1.5,1941,98002
2014-06-26,468500000,3,1.75,227.6,250,2,1915,98119
2014-12-01,333500000,3,1,130.1,146.9,1.5,1909,98112
2014-06-24,2.19e+08,3,1.75,141.2,592.7,1,1948,98115
2015-03-02,359500000,4,2.5,238.8,666.4,2,2005,98052
2014-11-10,290250000,3,2.5,215.5,369.8,2,2003,98027
2014-12-01,1.4e+08,2,1.5,110.6,117.5,3,2005,98133
2014-06-24,343750000,4,1.75,216.5,464.5,1.5,1929,98117
2014-11-10,267500000,3,1,101.3,278.7,1.5,1929,98117
2014-12-03,161250000,4,2.75,191.4,618.6,1,1981,98058
2014-06-13,3.48e+08,3,2.5,213.7,284.3,1.5,1930,98115
2014-05-28,2.75e+08,4,1,154.2,3237.5,1,1933,98052
2014-12-30,3.2e+08,4,2,219.3,557.4,2,1904,98107
2015-02-13,1.2e+08,4,1,113.3,750.2,1,1969,98001
2014-06-20,302500000,4,2.5,243.4,701.7,2,1996,98056
2014-07-15,312500000,4,2.5,238.8,512.8,2,2000,98074
2014-08-11,387500000,4,2.25,392.1,2247,1,1984,98166
2014-07-07,430995000,5,2.75,334,523.9,2,2014,98053
2014-10-28,342500000,3,1,145.9,211.8,2,1922,98119
2014-07-29,154500000,3,1,118.9,897.1,1,1959,98058
2014-07-18,2.44e+08,3,2.5,293.6,1263.8,2,2003,98019
2015-03-25,105245000,3,1,92,792.3,1,1966,98023
2014-07-16,392500000,4,2.5,212.7,1246.4,2,1981,98007
2015-04-28,2.25e+08,3,1.75,116.1,554,1,1953,98115
2015-03-11,6.75e+08,3,2.5,255.8,6039.2,1,1953,98070
2014-09-16,1.14e+08,3,1,110.6,854.6,1,1955,98148
2015-02-17,172500000,5,2.5,292.6,848.6,1,1966,98056
2014-12-31,3e+08,3,1.75,131,379,1,1950,98117
2015-02-05,292500000,2,1.75,183.9,794.3,1,1981,98117
2015-03-03,4.6e+08,5,2.25,253.6,557.4,1.5,1927,98105
2014-05-12,442500000,4,2.5,262.9,464.5,2,1995,98105
2014-08-19,146250000,4,2.5,209,417.6,2,2008,98042
2015-04-07,150500000,3,2.5,224.8,441.3,2,2003,98042
2014-08-27,475500000,5,3.25,301.9,1332.4,2,1968,98008
2015-02-23,2.15e+08,4,3,171.9,926.8,2,1991,98059
2014-12-10,3.25e+08,3,2.25,199.7,1972.8,1,1959,98166
2014-08-28,144500000,3,1.75,117.1,780.4,1,1954,98148
2014-10-21,252500000,3,1.75,234,807.3,2,1973,98166
2014-12-07,274500000,3,1.75,143.1,97,3,2014,98115
2014-06-03,212500000,3,2.25,154.2,557.4,1,1979,98122
2014-11-20,158812500,3,2.75,257.3,353.9,1.5,1925,98144
2014-09-09,487500000,4,2.5,252.7,1026.5,2,1989,98004
2014-10-09,143500000,4,2.5,208.1,431.8,2,2005,98001
2014-08-25,1.02e+08,3,1,92.9,1121.3,1,1968,98042
2014-06-12,662500000,5,2.25,297.3,1872.7,1,1965,98004
2014-09-12,5.2e+08,5,3.25,443.1,4653.9,1,1973,98005
2015-01-05,162500000,3,2,117.1,521.4,1,1972,98034
2014-06-10,285500000,4,2,255.5,725.3,1.5,1916,98125
2014-07-10,1.8e+08,4,2.5,221.1,464.5,2,2005,98038
2015-03-16,174500000,3,1.75,166.3,4694.3,1,1965,98042
2014-11-05,416250000,4,4,318.7,3261.1,2,1986,98075
